userId,movieId,rating,datetime,has_metadata
30772,1665,2.0,1999-12-18 17:08:22,
107842,1639,4.5,2008-05-28 00:36:35,
95345,161,4.0,1996-10-07 15:56:34,
158049,1120,4.0,2000-11-23 01:40:49,
18225,109487,5.0,2016-01-01 12:39:24,
34721,215,5.0,2012-08-29 11:41:17,
163474,2710,3.0,2017-11-14 00:01:11,
32049,318,5.0,2011-11-13 19:17:57,
34904,183421,3.5,2021-02-25 11:35:52,
86921,279414,1.0,2023-05-29 20:01:24,
33685,4025,3.5,2015-08-06 18:50:54,
194339,7045,3.0,2005-10-27 19:25:45,
81740,225,2.0,1996-09-24 16:47:07,
64710,97306,3.5,2023-02-04 18:26:42,
23507,1198,3.0,2001-11-04 02:58:32,
144918,202429,2.0,2020-03-05 02:30:15,
194467,2076,4.0,2019-07-25 22:18:38,
32190,356,5.0,2019-02-15 20:26:14,
12965,2783,3.0,2001-10-04 10:33:37,
199382,22,3.0,1996-12-05 20:17:02,
151274,1073,5.0,2001-09-30 16:03:09,
125716,1321,5.0,2000-01-09 07:53:08,
158502,202439,5.0,2020-04-19 02:37:28,
38631,457,4.0,2022-09-01 15:17:58,
141823,3203,4.0,2004-01-07 20:11:34,
105275,3852,3.0,2006-10-04 02:22:11,
123678,107906,4.0,2018-09-17 22:27:30,
43538,1961,5.0,2008-09-01 22:21:46,
167007,4878,4.0,2015-02-01 00:12:32,
86580,1947,3.0,2005-11-20 01:48:01,
85714,72605,3.5,2017-02-26 02:49:58,
113808,18,4.0,2016-01-19 03:30:26,
81681,7147,3.0,2018-08-31 23:21:38,
29872,50,4.0,1996-12-29 08:20:34,
108495,2628,2.0,2013-03-31 15:52:33,
142871,104374,3.0,2021-06-10 08:31:01,
90190,2143,3.0,2012-01-15 05:35:17,
159545,77596,4.0,2012-02-03 06:57:12,
178510,3176,3.0,2000-11-18 05:16:56,
181686,1041,4.0,1997-04-09 12:42:06,
149353,202439,4.5,2020-08-12 18:31:12,
58975,2278,4.0,2000-01-12 02:40:25,
106029,2706,3.0,2000-08-03 02:10:13,
57570,409,3.0,2000-08-27 06:57:34,
29666,1268,3.0,2008-01-02 20:40:58,
68833,1968,4.0,2000-09-07 22:54:58,
105278,1208,3.5,2003-09-13 06:22:01,
167430,1221,4.0,2016-10-09 06:54:58,
146519,6539,3.0,2004-11-16 23:22:41,
185600,59784,3.5,2023-09-27 15:00:45,
66803,104337,3.5,2016-07-25 22:11:44,
95355,1882,3.0,2022-12-16 08:01:45,
159567,1277,4.0,1998-01-30 11:52:13,
111154,7318,3.5,2016-01-30 13:47:09,
118464,3863,3.5,2005-03-07 00:27:16,
158872,1387,4.0,2008-12-07 15:04:16,
131468,89745,3.0,2017-04-16 01:04:46,
137511,2302,4.0,2000-11-20 15:00:05,
198149,119655,3.0,2016-01-12 05:29:39,
103082,1265,4.0,2018-04-07 15:13:50,
41559,419,2.0,1999-11-15 23:24:29,
86560,2953,2.5,2011-04-08 02:15:36,
60503,94959,4.0,2015-11-03 17:33:18,
173651,153,3.0,2004-09-08 17:00:58,
101373,6515,4.5,2006-04-18 22:52:01,
64532,35836,3.0,2022-07-24 01:57:23,
108563,935,4.0,2020-12-09 15:26:52,
182656,89753,2.0,2016-03-06 23:53:26,
71347,120783,3.5,2016-03-14 03:04:23,
75393,146684,0.5,2020-08-01 19:03:34,
102201,2334,3.5,2005-12-30 09:59:58,
182768,5329,4.5,2011-06-18 06:59:49,
132161,2542,4.0,2015-09-14 04:14:07,
91295,858,5.0,2016-08-06 22:08:18,
34919,160563,4.5,2016-09-12 00:42:55,
60938,89492,5.0,2023-04-18 19:24:11,
143068,7173,3.5,2020-08-27 12:35:30,
79158,3608,4.0,2000-09-03 15:35:25,
18093,53464,2.0,2017-11-07 00:09:47,
192554,1307,4.0,1999-11-08 15:06:46,
86517,1270,4.5,2018-11-23 23:22:05,
45981,188,3.0,1996-09-14 21:10:41,
41633,56775,4.0,2023-10-06 16:25:54,
164618,1894,1.5,2005-11-13 06:27:30,
10844,85510,2.5,2019-05-13 12:11:26,
144266,3421,4.0,2009-02-12 05:34:03,
34369,429,3.0,2001-07-17 22:59:12,
152659,5060,4.0,2015-02-19 10:56:36,
55515,1196,2.5,2020-03-05 18:50:28,
86297,5110,4.0,2022-08-20 05:10:22,
173961,2581,1.0,2001-09-24 17:14:03,
82050,99687,4.0,2016-05-12 20:22:14,
177651,56788,4.0,2008-01-20 14:25:46,
19445,116797,3.5,2021-11-06 03:57:16,
163558,393,2.0,2007-10-29 09:33:07,
82778,4734,2.0,2023-06-14 18:04:34,
