imdbId,tmdbId,title,original_title,original_language,release_date,release_year,has_release_date,adult,overview,tagline,genres,keywords,keywords_list,has_overview,has_tagline,has_keywords,cast_list,cast_weight,directors,writers,has_cast,has_directors,has_writers,production_companies,production_countries,spoken_languages,has_production_company,has_production_country,has_spoken_language,average_rating_tmdb,num_votes_tmdb,average_rating_imdb,num_votes_imdb,popularity,runtime,has_runtime,budget,revenue,has_budget,has_revenue,poster_url,backdrop_url,has_poster,has_backdrop
7388606,468657,Volubilis,وليلي,ar,2017-07-30,2017,True,False,"Volubilis is a tale of love in a world of despair, of beauty among the ruins. In the Moroccan city of Meknès, recently married Abdelkader and Malika struggle to make ends meet. They dream of leaving the family house and finally starting a life of their own together. But one day at work, Abdelkader gets mixed up in a violent incident that will turn their lives upside down.",,['drama'],,[],True,False,True,"['Nadia Kounda', 'Mouhcine Malzi', 'Nezha Rahile', 'rare_actor']","[2.0794415416798357, 1.791759469228055, 1.9459101490553132, 0.1]",['Faouzi Bensaidi'],['Faouzi Bensaidi'],True,True,True,"['other_company', 'other_company', 'other_company']","['France', 'Morocco', 'Qatar']",['Arabic'],True,True,True,6.167,3,6.3,279,1.324,107,True,,,False,False,https://image.tmdb.org/t/p/w500/fahrjWfNi4eda6kuSLPWyohQFUU.jpg,https://image.tmdb.org/t/p/w500/njhFYOahT6iyzASuJOhNBI9AU3i.jpg,True,True
1543267,500072,Under the dark sky of the nation,Under en blågul himmel,sv,2004-10-22,2004,True,False,"What does a Skinhead think about Sweden? What has a Biker got in common with a radical Hiphoper? What's the difference between an Anarchic Feminist and a Muslim girl? Are the Nazi youngsters evil? Death Metal, Punk, Hiphop, Oi!-music… Abuse of Narcotics, imprisonment, Bin Ladin, USA, EU riots… “Under the dark sky of the nation” is a present day account of a split Sweden reflected by those who society consider dangerous.",,[],,[],True,False,True,[],[],"['Renzo Anerod', 'Bo Harringer']",['Bo Harringer'],False,True,True,[],[],['Swedish'],False,False,True,,0,6.4,17,0.6,98,True,,,False,False,,,False,False
5162492,208488,Elf 17,エルフ・17,ja,1987-01-14,1987,True,False,"Muscat Tyler is the 108th prince of the Galaxy Empire, who is known as the eccentric persons. He travels around the universe accompanying a Walking Arsenal, K.K, and Lu of the Light Wing Race, the strongest creature in the universe. Where they go, there is a trouble.",,"['animation', 'comedy', 'science fiction']",,[],True,False,True,"['Akira Kamiya', 'Kazuki Yao', 'rare_actor', 'Chieko Honda']","[4.454347296253507, 3.8066624897703196, 0.1, 3.258096538021482]","[""Jun'Ichi Sakata""]","['Sukehiro Tomita', 'rare_writer']",True,True,True,['Toei Animation'],['Japan'],['Japanese'],True,True,True,6.5,2,6.6,51,0.839,30,True,,,False,False,https://image.tmdb.org/t/p/w500/asKRer9pEwzUwlHPzciPnsYyR5X.jpg,,True,False
34596,364175,Las 5 noches de Adán,Las 5 noches de Adán,es,1942-04-18,1942,True,False,"Globe-hopping playboy bachelor is getting on in years, so he invites his five international children to come live with him.",,[],,[],True,False,True,"['Domingo Soler', 'Mapy Cortes', 'Tomas Perrin', 'Jorge Reyes', 'Alfredo Varela', 'Consuelo Guerrero De Luna', 'Agustin Isunza', 'Rita Macedo']","[4.574710978503383, 2.995732273553991, 1.9459101490553132, 3.5263605246161616, 4.1588830833596715, 3.367295829986474, 4.718498871295094, 3.9318256327243257]",['Gilberto Martinez Solares'],"['Fernando Cortes', 'Gilberto Martinez Solares', 'Eduardo Ugarte']",True,True,True,[],[],['Spanish'],False,False,True,5.3,3,6.9,9,0.701,117,True,,,False,False,https://image.tmdb.org/t/p/w500/w2RiIfBrfb9sFEJapUWnpWtrq0A.jpg,,True,False
274104,357099,Sreekrishnapurathu Nakshathrathilakkam,ശ്രീകൃഷ്ണപുരത്ത് നക്ഷത്രത്തിളക്കം,ml,1998-01-05,1998,True,False,"Three out of four brothers of a Malayali household are happily married while the fourth brother is engaged. When the beautiful Yamuna Rani becomes their new neighbour, she poses a threat to the wives.",Starlight in Sreekrishnapuram,['comedy'],,[],True,True,True,"['Nagma', 'Oduvil Unnikrishnan', 'Innocent', 'Cochin Haneefa', 'Jagathy Sreekumar', 'Sudheesh', 'Kpac Lalitha', 'Bindu Panicker', 'Kalaranjini', 'Praveena']","[3.4657359027997265, 4.852030263919617, 5.752572638825633, 5.111987788356544, 6.255750041753367, 4.477336814478207, 5.5254529391317835, 4.060443010546419, 3.367295829986474, 3.295836866004329]",['Rajasenan'],"['K. Balachander', 'Rajan Kizhakkanela', 'Mani Shornnur']",True,True,True,['other_company'],['India'],['Malayalam'],True,True,True,6.3,8,7.0,347,1.828,160,True,,,False,False,https://image.tmdb.org/t/p/w500/xJeO6ufU6v0ce90gYm9LIPmXOxa.jpg,https://image.tmdb.org/t/p/w500/ljCvfkczBQDHyg4dyJdBD1L3Bey.jpg,True,True
93681,497983,De orionnevel,De orionnevel,en,1987-09-10,1987,True,False,"The three very different men in this film have become friends out of their common dissatisfaction with their lives. Beard is now more or less a street person since his wife left him. Before that, he was a social worker. ""Foureyes"" is a nebbish science teacher, who can't get anyone to take him seriously -- certainly not his students. He seeks solace in the quiet of the stars, which he views in his telescope at night. Finally, Gerdo is a fellow who is a master of many trades, successful at almost everything he does, except in his own eyes. Each new challenge proves unsatisfying when met. The only thing he wants is the one thing he can't bring about: the return of his old girlfriend, who left him for some boring civil servant. He sees her everywhere, and images of her haunt him constantly. (allmovie.com)",,[],,[],True,False,True,"['rare_actor', 'Han Kerckhoffs', 'Michiel Romeyn', 'Beppie Melissen', 'rare_actor', 'rare_actor', 'rare_actor', 'rare_actor', 'Lieneke Le Roux', 'rare_actor']","[0.1, 2.0794415416798357, 2.639057329615259, 3.091042453358316, 0.1, 0.1, 0.1, 0.1, 2.1972245773362196, 0.1]",['Jurrien Rood'],['Jurrien Rood'],True,True,True,"['other_company', 'VPRO']",['Netherlands'],['Dutch'],True,True,True,,0,5.9,22,0.6,85,True,,,False,False,,,False,False
27666038,1121736,Prelude,Murtuma,fi,,,False,False,Helena is spending an evening with her family when someone knocks on the door. Unknown man confronts Helena with accusations towards her perfect family. Helena drives the man and the accusations away. But the seed of doubt has been planted.,There is only so much you can deny,"['drama', 'thriller']",,[],True,True,True,"['Seidi Haarla', 'Tommi Korpela', 'rare_actor', 'rare_actor', 'Elmer Back', 'Kristiina Halkola', 'rare_actor']","[1.9459101490553132, 4.189654742026425, 0.1, 0.1, 2.302585092994046, 2.4849066497880004, 0.1]",['rare_director'],['rare_writer'],True,True,True,['other_company'],['Finland'],['Finnish'],True,True,True,,0,6.8,10,0.6,19,True,,,False,False,https://image.tmdb.org/t/p/w500/fEYudQOTR7cpGEdmwcR1CnHohv3.jpg,,True,False
9205646,592053,Les lois de l'attraction mentale,Les lois de l'attraction mentale,fr,2017-11-20,2017,True,False,,,[],,[],False,False,True,[],[],['rare_director'],"['rare_writer', 'rare_writer']",False,True,True,[],[],[],False,False,False,,0,6.3,9,0.6,,False,,,False,False,https://image.tmdb.org/t/p/w500/66r7nw1cC22Hvjx0dOp02j3v2V.jpg,,True,False
7445510,481811,Oscar Pistorius: Blade Runner Killer,Oscar Pistorius: Blade Runner Killer,en,2017-11-11,2017,True,False,"The true story of the rise and fall of sprint runner Oscar Pistorius, dubbed the “Blade Runner,” the first double-leg amputee to participate in the Olympics. From his Olympic fame, to the shooting that killed his girlfriend, Reeva, to the courtroom trials that followed.",,"['drama', 'tv movie']",,[],True,False,True,"['rare_actor', 'rare_actor', 'Timothy Davis', 'Kendrick Cross', 'rare_actor', 'rare_actor', 'rare_actor', 'Ashley Leconte Campbell', 'Tim Ware', 'rare_actor']","[0.1, 0.1, 1.791759469228055, 2.70805020110221, 0.1, 0.1, 0.1, 2.1972245773362196, 2.1972245773362196, 0.1]",['Norman Stone'],"['Amber Benson', 'Adam Freeman']",True,True,True,['Lifetime'],['United States of America'],['English'],True,True,True,5.2,15,5.0,501,3.247,79,True,,,False,False,https://image.tmdb.org/t/p/w500/fNyj0GDNGiXECd3hf5B5p6s1mC1.jpg,https://image.tmdb.org/t/p/w500/lyGE22T7m2HMefJ4LqkNmRZt62j.jpg,True,True
16420540,1087651,Id,Id,sr,2022-10-06,2022,True,False,"A man forced to finally deal with his problems ends up in a strange, desolate space, which he can not leave until he puts all the pieces together.",,['animation'],,[],True,False,True,"['Radivoje Bukvic', 'Stojan Orevic', 'rare_actor', 'Dragan Micanovic', 'rare_actor']","[3.258096538021482, 1.791759469228055, 0.1, 3.58351893845611, 0.1]",['rare_director'],['rare_writer'],True,True,True,['other_company'],['Serbia'],['English'],True,True,True,,0,9.0,12,0.6,17,True,,,False,False,https://image.tmdb.org/t/p/w500/yDyv68ZdZJxwJCxU3oYvu5vMWZr.jpg,https://image.tmdb.org/t/p/w500/jiHDQqJd8nhJzzQjS2BGXIuwd8n.jpg,True,True
